 ,Area,Mean,Min,Max,Major,Minor,Angle,Circ.,AR,Round,Solidity
1059,260,255,255,255,18.736,17.669,116.368,0.927,1.060,0.943,0.932
1060,211,255,255,255,17.746,15.139,2.705,0.970,1.172,0.853,0.950
1061,431,255,255,255,25.909,21.181,48.608,0.921,1.223,0.818,0.948
1062,465,255,255,255,28.845,20.526,144.569,0.833,1.405,0.712,0.928
1063,275,255,255,255,20.418,17.149,97.068,0.918,1.191,0.840,0.935
1064,356,255,255,255,22.738,19.935,100.979,0.939,1.141,0.877,0.948
1065,272,255,255,255,19.706,17.574,43.325,0.926,1.121,0.892,0.935
1066,391,255,255,255,29.171,17.066,45.412,0.576,1.709,0.585,0.805
1067,174,255,255,255,18.028,12.289,87.990,0.873,1.467,0.682,0.933
1068,354,255,255,255,25.857,17.432,127.900,0.780,1.483,0.674,0.907
1069,185,255,255,255,18.928,12.444,54.551,0.843,1.521,0.657,0.905
1070,300,255,255,255,21.917,17.428,74.295,0.876,1.258,0.795,0.927
1071,315,255,255,255,21.630,18.543,150.254,0.944,1.166,0.857,0.950
1072,280,255,255,255,21.572,16.526,10.173,0.924,1.305,0.766,0.949
1073,377,255,255,255,25.600,18.751,139.453,0.772,1.365,0.732,0.900
1074,464,255,255,255,26.108,22.629,100.841,0.901,1.154,0.867,0.945
1075,202,255,255,255,20.338,12.646,133.325,0.865,1.608,0.622,0.916
1076,439,255,255,255,24.331,22.973,176.886,0.919,1.059,0.944,0.943
1077,286,255,255,255,23.462,15.521,97.675,0.806,1.512,0.662,0.915
1078,419,255,255,255,26.239,20.332,52.046,0.833,1.290,0.775,0.943
1079,496,255,255,255,32.674,19.328,18.556,0.803,1.691,0.592,0.915
1080,401,255,255,255,25.592,19.950,142.062,0.682,1.283,0.780,0.892
1081,402,255,255,255,24.618,20.791,91.828,0.926,1.184,0.845,0.946
1082,280,255,255,255,21.550,16.543,27.755,0.910,1.303,0.768,0.930
1083,283,255,255,255,23.630,15.249,41.788,0.712,1.550,0.645,0.896
1084,243,255,255,255,19.865,15.575,156.277,0.860,1.275,0.784,0.908
1085,364,255,255,255,22.972,20.175,57.285,0.929,1.139,0.878,0.947
1086,410,255,255,255,24.170,21.598,42.371,0.902,1.119,0.894,0.938
1087,484,255,255,255,27.408,22.484,170.416,0.908,1.219,0.820,0.947
1088,442,255,255,255,26.168,21.506,28.714,0.909,1.217,0.822,0.951
1089,302,255,255,255,20.480,18.775,51.819,0.938,1.091,0.917,0.944
1090,497,255,255,255,27.397,23.097,161.994,0.896,1.186,0.843,0.945
1091,377,255,255,255,24.306,19.749,43.097,0.924,1.231,0.813,0.947
1092,287,255,255,255,21.579,16.934,89.577,0.915,1.274,0.785,0.941
1093,408,255,255,255,23.360,22.238,155.225,0.920,1.050,0.952,0.941
1094,255,255,255,255,18.866,17.210,74.784,0.935,1.096,0.912,0.946
1095,410,255,255,255,24.749,21.093,98.032,0.896,1.173,0.852,0.947
1096,291,255,255,255,28.306,13.090,46.714,0.734,2.162,0.462,0.900
1097,280,255,255,255,20.091,17.745,117.632,0.886,1.132,0.883,0.927
1098,275,255,255,255,24.143,14.503,62.871,0.877,1.665,0.601,0.945
1099,355,255,255,255,21.863,20.675,101.592,0.813,1.057,0.946,0.911
1100,294,255,255,255,21.651,17.290,55.231,0.913,1.252,0.799,0.933
1101,266,255,255,255,21.320,15.886,66.325,0.826,1.342,0.745,0.911
1102,420,255,255,255,23.648,22.613,10.973,0.918,1.046,0.956,0.941
1103,293,255,255,255,21.493,17.358,75.130,0.794,1.238,0.808,0.924
1104,379,255,255,255,23.065,20.921,104.096,0.917,1.102,0.907,0.948
1105,326,255,255,255,24.327,17.063,112.644,0.788,1.426,0.701,0.913
1106,300,255,255,255,22.365,17.079,103.893,0.905,1.309,0.764,0.945
1107,491,255,255,255,26.418,23.664,116.101,0.935,1.116,0.896,0.953
1108,301,255,255,255,22.079,17.358,70.768,0.870,1.272,0.786,0.928
1109,278,255,255,255,21.397,16.542,0.243,0.842,1.293,0.773,0.927
1110,482,255,255,255,28.044,21.883,119.297,0.886,1.282,0.780,0.949
1111,316,255,255,255,23.139,17.388,106.131,0.891,1.331,0.751,0.938
1112,496,255,255,255,26.685,23.666,157.745,0.912,1.128,0.887,0.947
1113,296,255,255,255,20.852,18.074,54.322,0.944,1.154,0.867,0.944
1114,285,255,255,255,21.140,17.166,161.311,0.926,1.232,0.812,0.938
1115,487,255,255,255,27.231,22.771,59.097,0.914,1.196,0.836,0.952
1116,299,255,255,255,22.123,17.208,83.312,0.889,1.286,0.778,0.923
1117,288,255,255,255,20.570,17.827,113.089,0.943,1.154,0.867,0.947
1118,308,255,255,255,24.788,15.820,73.995,0.701,1.567,0.638,0.866
1119,343,255,255,255,22.146,19.721,22.414,0.884,1.123,0.890,0.937
1120,471,255,255,255,26.840,22.344,47.615,0.896,1.201,0.832,0.946
1121,361,255,255,255,23.962,19.182,115.158,0.921,1.249,0.801,0.948
1122,311,255,255,255,25.769,15.366,88.966,0.686,1.677,0.596,0.877
1123,351,255,255,255,26.776,16.691,65.680,0.752,1.604,0.623,0.901
1124,426,255,255,255,25.585,21.200,15.964,0.917,1.207,0.829,0.942
1125,279,255,255,255,21.495,16.527,37.534,0.585,1.301,0.769,0.851
1126,312,255,255,255,20.763,19.133,49.334,0.904,1.085,0.922,0.923
1127,284,255,255,255,22.396,16.146,120.678,0.866,1.387,0.721,0.928
1128,338,255,255,255,21.962,19.595,95.491,0.769,1.121,0.892,0.920
1129,268,255,255,255,20.396,16.731,93.075,0.623,1.219,0.820,0.830
1130,314,255,255,255,21.845,18.301,148.701,0.817,1.194,0.838,0.915
1131,351,255,255,255,23.080,19.364,42.195,0.883,1.192,0.839,0.934
1132,412,255,255,255,26.342,19.914,175.962,0.862,1.323,0.756,0.933
1133,298,255,255,255,20.546,18.467,156.694,0.899,1.113,0.899,0.943
1134,381,255,255,255,24.897,19.484,38.265,0.878,1.278,0.783,0.934
1135,418,255,255,255,24.247,21.949,169.652,0.934,1.105,0.905,0.951
1136,309,255,255,255,21.009,18.726,128.901,0.919,1.122,0.891,0.934
1137,341,255,255,255,22.329,19.445,60.589,0.915,1.148,0.871,0.933
1138,303,255,255,255,20.769,18.575,87.241,0.842,1.118,0.894,0.907
1139,357,255,255,255,22.666,20.054,91.342,0.890,1.130,0.885,0.936
1140,320,255,255,255,22.224,18.334,107.932,0.787,1.212,0.825,0.918
1141,330,255,255,255,22.770,18.453,163.374,0.908,1.234,0.810,0.938
1142,366,255,255,255,22.322,20.876,124.708,0.891,1.069,0.935,0.943
1143,295,255,255,255,21.917,17.138,31.362,0.613,1.279,0.782,0.866
1144,273,255,255,255,20.092,17.300,34.201,0.904,1.161,0.861,0.925
1145,423,255,255,255,24.572,21.919,109.749,0.885,1.121,0.892,0.932
1146,318,255,255,255,23.345,17.344,144.525,0.899,1.346,0.743,0.933
1147,306,255,255,255,24.955,15.612,23.123,0.842,1.598,0.626,0.927
1148,405,255,255,255,24.193,21.315,170.904,0.925,1.135,0.881,0.951
1149,330,255,255,255,21.339,19.691,53.355,0.883,1.084,0.923,0.930
1150,371,255,255,255,26.945,17.531,130.523,0.712,1.537,0.651,0.893
1151,354,255,255,255,24.047,18.744,57.456,0.897,1.283,0.779,0.938
1152,428,255,255,255,26.170,20.824,107.481,0.826,1.257,0.796,0.942
1153,325,255,255,255,20.555,20.131,34.703,0.858,1.021,0.979,0.930
1154,333,255,255,255,21.557,19.668,52.392,0.916,1.096,0.912,0.941
1155,245,255,255,255,23.690,13.168,161.398,0.502,1.799,0.556,0.787
1156,316,255,255,255,21.841,18.422,59.838,0.930,1.186,0.843,0.949
1157,488,255,255,255,27.673,22.453,25.273,0.910,1.232,0.811,0.944
1158,288,255,255,255,22.229,16.496,165.218,0.895,1.347,0.742,0.935
1159,391,255,255,255,25.009,19.907,167.835,0.922,1.256,0.796,0.946
1160,323,255,255,255,22.179,18.543,72.506,0.855,1.196,0.836,0.911
1161,456,255,255,255,27.394,21.195,6.181,0.841,1.292,0.774,0.929
1162,357,255,255,255,21.485,21.157,146.079,0.863,1.016,0.985,0.935
1163,353,255,255,255,22.670,19.826,35.158,0.894,1.143,0.875,0.934
1164,425,255,255,255,26.026,20.792,69.853,0.895,1.252,0.799,0.934
1165,419,255,255,255,28.035,19.030,0.441,0.838,1.473,0.679,0.941
1166,334,255,255,255,23.679,17.959,13.876,0.887,1.318,0.758,0.945
1167,301,255,255,255,21.454,17.864,72.125,0.848,1.201,0.833,0.916
1168,309,255,255,255,22.409,17.556,166.388,0.909,1.276,0.783,0.938
1169,304,255,255,255,24.649,15.703,147.688,0.557,1.570,0.637,0.825
1170,307,255,255,255,22.260,17.560,56.573,0.853,1.268,0.789,0.916
1171,356,255,255,255,23.138,19.590,33.673,0.908,1.181,0.847,0.941
1172,365,255,255,255,27.308,17.018,155.886,0.737,1.605,0.623,0.897
1173,494,255,255,255,32.537,19.331,63.540,0.811,1.683,0.594,0.936
1174,337,255,255,255,22.581,19.002,164.881,0.866,1.188,0.842,0.930
1175,441,255,255,255,24.494,22.924,58.724,0.895,1.069,0.936,0.938
1176,299,255,255,255,26.082,14.596,150.937,0.816,1.787,0.560,0.923
